pts_ra_HOME,fga_ra_HOME,fg3a_ra_HOME,fta_ra_HOME,oreb_ra_HOME,dreb_ra_HOME,asts_ra_HOME,stls_ra_HOME,blks_ra_HOME,tos_ra_HOME,FG_pct_ra_HOME,FG3_pct_ra_HOME,FT_pct_ra_HOME,pts_ra_AWAY,fga_ra_AWAY,fg3a_ra_AWAY,fta_ra_AWAY,oreb_ra_AWAY,dreb_ra_AWAY,asts_ra_AWAY,stls_ra_AWAY,blks_ra_AWAY,tos_ra_AWAY,FG_pct_ra_AWAY,FG3_pct_ra_AWAY,FT_pct_ra_AWAY,HOME_TEAM_WINS
102.6666667,83.95238095,24.76190476,23.85714286,10.33333333,35.61904762,25.52380952,8.857142857,5.571428571,16.57142857,0.460931185,0.330684293,0.709634673,103.8095238,86.23809524,24.04761905,24.52380952,7.714285714,36.19047619,24.04761905,7.904761905,6.19047619,13.28571429,0.44567118,0.326700681,0.773376824,0
100.2222222,84.48148148,25.11111111,22.40740741,10.11111111,35.11111111,24.11111111,8.740740741,5.407407407,16.2962963,0.450085292,0.322540985,0.706764117,99.03703704,85.7037037,20.51851852,18.92592593,9.888888889,34.66666667,21.14814815,7.148148148,3.851851852,12.22222222,0.452737396,0.3385093,0.759584712,0
99.62068966,84.34482759,25.10344828,22.44827586,10.10344828,34.55172414,24.06896552,8.827586207,5.310344828,16.4137931,0.447985813,0.319889256,0.701125212,106.7307692,88.11538462,25.57692308,23.92307692,10.76923077,35.84615385,22.5,7.730769231,5.115384615,15.84615385,0.45675211,0.349682677,0.72101004,0
99.73333333,84.46666667,24.9,22.2,10.23333333,34.5,24.16666667,8.833333333,5.433333333,16.33333333,0.449340832,0.316243824,0.706643261,99.2,85.03333333,25.8,22.53333333,10.56666667,33.8,20.53333333,7.633333333,6,13,0.44236846,0.345313545,0.67574629,1
100.8125,84.59375,25.28125,22.375,10.28125,34.5,24.5625,8.6875,5.46875,16.3125,0.451938544,0.319784783,0.714458763,96.72727273,84,25.03030303,22.06060606,9.696969697,33.51515152,21.33333333,6.818181818,5.363636364,13.54545455,0.431130732,0.346051168,0.719143869,0
101.4705882,84.67647059,25.29411765,22.47058824,10.38235294,34.44117647,24.64705882,8.470588235,5.382352941,16.11764706,0.454765688,0.325227307,0.709196483,101.4285714,85.31428571,27.34285714,26.08571429,9.171428571,36.82857143,22.51428571,6.685714286,4.971428571,12.31428571,0.426667832,0.324612892,0.762312642,0
101.2222222,84.33333333,25.25,22.25,10.16666667,34.11111111,24.47222222,8.388888889,5.361111111,15.91666667,0.456203728,0.325507321,0.711018188,103.2571429,84.4,23.11428571,25.74285714,11.94285714,32.14285714,21.31428571,7.914285714,5.2,15.05714286,0.445895379,0.338901878,0.788705972,0
101.1538462,84.76923077,25.46153846,22.51282051,10.48717949,34,24.25641026,8.41025641,5.307692308,15.71794872,0.452348466,0.321731354,0.71534607,105.9189189,89.32432432,25.37837838,21.75675676,12.2972973,33.32432432,22.37837838,8.081081081,5.675675676,14.21621622,0.447815425,0.358928395,0.783888937,1
101.25,84.85,25.475,22.575,10.525,33.95,24.375,8.45,5.225,15.7,0.452119299,0.321380378,0.716462418,97.87804878,85.07317073,22.19512195,19.14634146,9.853658537,34.04878049,21.09756098,7.195121951,3.609756098,12.24390244,0.447587351,0.332136962,0.738722803,1
101.5609756,85.02439024,25.53658537,22.68292683,10.53658537,33.97560976,24.3902439,8.390243902,5.243902439,15.58536585,0.452226676,0.325736954,0.713441203,104.15,82.225,21.825,22.275,9.55,33.875,23.4,8.6,5.45,13.675,0.468316798,0.40644968,0.82401548,1
101.9347826,84.93478261,25.30434783,22.95652174,10.43478261,34.39130435,24.26086957,8.456521739,5.260869565,15.19565217,0.452586163,0.335735864,0.718378939,106.6382979,85.74468085,31.93617021,21.76595745,9.29787234,32.14893617,24.57446809,7.872340426,4.531914894,12.68085106,0.454009687,0.364648229,0.795091011,0
102.1276596,84.82978723,25.31914894,22.85106383,10.5106383,34.14893617,24.36170213,8.468085106,5.234042553,15.27659574,0.454126883,0.339230846,0.719642744,103.1333333,82.84444444,22.95555556,22.84444444,9.622222222,33.02222222,24.13333333,8.2,5.377777778,13.64444444,0.468032111,0.367462881,0.757147922,1
102.1,84.68,25.38,23.06,10.4,33.74,24.32,8.52,5.12,15.18,0.453279176,0.339358813,0.721842372,101.627451,86.62745098,20.96078431,24.49019608,13.23529412,34.43137255,21.37254902,7.62745098,5.31372549,13.66666667,0.436481142,0.308855455,0.804533766,1
102.254902,84.80392157,25.2745098,23.05882353,10.41176471,33.78431373,24.31372549,8.509803922,5.117647059,15.1372549,0.454087535,0.339567464,0.718771294,98.65306122,83.85714286,29.42857143,22.06122449,9.816326531,34.04081633,22.24489796,7.836734694,5.795918367,17.04081633,0.429143934,0.338811128,0.754472141,1
102.3076923,84.86538462,25.34615385,23.11538462,10.36538462,33.75,24.38461538,8.5,5.057692308,15,0.453440746,0.33900549,0.721220958,106.1538462,83.25,26.98076923,25.17307692,9.057692308,33.96153846,22.44230769,7.75,4.615384615,13.11538462,0.463524258,0.367821128,0.766203595,0
102.3148148,84.7962963,25.53703704,23.07407407,10.24074074,33.72222222,24.35185185,8.444444444,5.111111111,15.03703704,0.452934016,0.342319902,0.722696206,106.5849057,86.54716981,23.43396226,21.1509434,10.24528302,32.75471698,23.28301887,9.037735849,3.849056604,13.86792453,0.473834714,0.36341108,0.778989753,0
103.0363636,85.41818182,25.63636364,23.38181818,10.36363636,33.96363636,24.56363636,8.363636364,5.054545455,15.01818182,0.452643849,0.341961007,0.722283547,106.4545455,89.89090909,25.8,21.07272727,12.47272727,33.52727273,22.21818182,7.581818182,5.690909091,14,0.4499665,0.360935406,0.78427527,1
103.2068966,85.29310345,25.75862069,23.39655172,10.29310345,34.27586207,24.44827586,8.379310345,5.017241379,15.10344828,0.454035321,0.339670615,0.725855968,99.53333333,85.83333333,25.88333333,21.35,9.75,33.08333333,21.96666667,6.95,5.05,13.36666667,0.439164127,0.339437404,0.726870559,1
103.0677966,85.10169492,25.61016949,23.54237288,10.23728814,34.08474576,24.30508475,8.338983051,4.983050847,15.05084746,0.453898213,0.33989554,0.725735528,99.85964912,77.78947368,25.52631579,24.56140351,8.842105263,34.07017544,19.31578947,6.877192982,5.01754386,13.40350877,0.465603586,0.356829193,0.751502618,0
103.3,85.23333333,25.63333333,23.45,10.26666667,34.11666667,24.41666667,8.3,4.966666667,14.96666667,0.454756181,0.339168886,0.727528825,109.3166667,87.3,26.91666667,26.63333333,12.71666667,34.58333333,24.13333333,6.933333333,4.233333333,15.28333333,0.457963755,0.353852397,0.758273561,1
102.9375,84.78125,25.65625,24.078125,10.0625,34.34375,24.03125,8.203125,5.015625,14.890625,0.45254321,0.337058514,0.727306775,101.9393939,85.39393939,26.31818182,21.66666667,10.12121212,33.90909091,21.40909091,7.136363636,5.651515152,12.98484848,0.454952708,0.357997417,0.69385791,0
102.8059701,84.62686567,25.56716418,24.04477612,10.04477612,34.41791045,23.95522388,8.223880597,5.059701493,15.01492537,0.45352159,0.337431871,0.725911867,97.34328358,82.52238806,29.59701493,18.28358209,8.373134328,30.56716418,20.2238806,7.776119403,3.850746269,11.62686567,0.437943584,0.35704259,0.795930347,1
103.2058824,84.72058824,25.57352941,24.13235294,10.05882353,34.38235294,24.04411765,8.205882353,5.044117647,14.97058824,0.454770707,0.338125746,0.726021007,110.4393939,84.93939394,33.24242424,24.43939394,9.272727273,33.95454545,22.77272727,7.181818182,4.075757576,13.54545455,0.465575045,0.387366958,0.752964822,0
103.1014493,84.60869565,25.5942029,24.23188406,10.07246377,34.36231884,24,8.260869565,4.985507246,14.95652174,0.454579225,0.338056291,0.724381618,105.3823529,84.86764706,22.76470588,22.66176471,8.794117647,33.25,22.77941176,8.455882353,5.058823529,13.55882353,0.465313415,0.368595553,0.800229434,0
